Mathematical Nouns;;
;;
English;Français;Nederlands
;;
addition, summation;l'addition (f);optelling
addition - term;l'addition - le terme;optelling - term
addition - sum;l'addition - la somme;optelling - som
algebra;l'algèbre (f);algebra
angle;l'angle (m);hoek
angle - acute angle;l'angle - l'angle saillant;hoek - scherpe hoek
angle - convex angle;l'angle - l'angle convexe;hoek - convexe hoek
angle - degree(s);l'angle - le(s) degré(s);hoek - gra(a)d(en)
angle - obtuse angle;l'angle - l'angle rentrant;hoek - stompe hoek
angle - reflex/concave angle;l'angle - l'angle concave;hoek - concave hoek
angle - right angle;l'angle - l'angle droit;hoek - rechte hoek
angle - straight angle;l'angle - l'angle plat;hoek - gestrekte hoek
arithmetic;l'arithmétique (f);rekenen, aritmetica, cijferkunst, rekenkunde
arithmetic - average, mean;l'arithmétique - la moyenne;rekenen - gemiddelde
arithmetic - median;l'arithmétique - la médiane;rekenen - mediaan
axiom;l'axiome (m);axioma
Cartesian/rectangular coordinate system;le système de coordonnées cartésiennes;Cartesisch coördinatenstelsel
Cart. - axis;cart. - l'axe (m);Cart. - as
circle;le cercle;cirkel
coefficient;le coefficient;coëfficiënt
cone;le cône;kegel, conus
cone - frustum (pl. frusta, -s);le cône - le tronc;kegel - afgeknotte kegel
coordinate;la coordonnée;coördinaat
cube;le cube;kukus
cuboid, rectangular prism;le cuboïde, le prisme rectangulaire;balk
curve;la courbe, la ligne courbe;kromme
cylinder;le cylindre;cilinder, rol
derivative;la dérivée;afgeleide
differential;le calcul différentiel;differentiaal
divide (v);diviser (v);delen
division;la division;deling
division - dividend;la division - le dividende;deling - deeltal
division - divisor;la division - le diviseur;deling - deler
division - quotient;la division - le quotient;deling - quotiënt
ellipse;l'ellipse (f);ellips
equation;l'équation (f);vergelijking
exponentiation, power;la puissance, la fonction exponentielle;machtsverheffing
exponentiation - base, radix;la puissance - la base;machtsv. - grondtal
exponentiation - exponent;la puissance - l'exposant (m);machtsv. - exponent
fraction;la fraction;breuk
fraction - numerator;la fraction - le numérateur;breuk - teller
fraction - denominator;la fraction - le dénominateur;breuk - noemer
geometry;la géométrie;meetkunde, geometrie
greatest/highest common divisor/factor (gcd/gcf/hcf);le plus grand commun diviseur (pgcd, pgdc);grootste gemene deler
integral;l'intégrale (f);integraal
least/lowest common multiple (lcm);plus petit commun multiple (ppcm);kleinste gemeen veelvoud
line;la ligne - la droite, la ligne droite;lijn - rechte
line - intersect (v), intersection;la ligne - intersecter (v), l'intersection (f);lijn - snijden, kruisen
line - line segment;la ligne - le segment;lijn - lijnstuk
line - parallel line;la ligne - la parallèle;lijn - evenwijdige
matrix (pl. matrices);la matrice;matrix
matrix - determinant;la matrice - le déterminant;matrix - determinant
multiplication;la multiplication;vermenigvuldiging
multiplication - factor, multiplicand;la multiplication - le facteur;vermv. - factor
multiplication - product;la multiplication - le produit;vermv. - product
multiply (v);multiplier (v);vermenigvuldigen
number;le nombre;getal
number - algebraic number;le nombre - le nombre algébrique;getal - albebraïsch getal
number - complex number;le nombre - le nombre complexe;getal - complex getal
number - imaginary number;le nombre - le nombre imaginaire;getal - imaginair getal
number - integer;le nombre - l'entier (m) relatif;getal - geheel getal
number - irrational number;le nombre - le nombre irrationnel;getal - irrationeel getal
number - natural number;le nombre - l'entier (m) naturel;getal - natuurlijk getal
number - rational number;le nombre - le nombre rationnel;getal - rationeel getal
number - real number;le nombre - le nombre réel;getal - reëel getal
parallelepiped;le parallélépipède;parallellepipedum
parallelogram;le parallélogramme;parallellogram
perpendicular, orthogonal;perpendiculaire, orthogonal;loodrecht
plane;le plan;vlak
polygon;le polygone;veelhoek, polygoon
polygon - heptagon;le polygone - l'heptagone (m);veelhoek - zevenhoek
polygon - hexagon;le polygone - l'hexagone (m);veelhoek - zeshoek
polygon - octagon;le polygone - l'octogone (m);veelhoek - achthoek
polygon - pentagon;le polygone - le pentagone;veelhoek - vijfhoek
polygon - quadrilateral (quadrangle);le polygone - le quadrilatère;veelhoek - vierhoek
prism;le prisme;prisma
proof, demonstration;la démonstration, la preuve;bewijs
proportionality;la proportionnalité;evenredigheid
prop. - (directly) proportional;la prop. - proportionnel;evenr. - (recht) evenredig
prop. - inversely proportional, varying inversely;la prop. - inversement proportionnel;evenr. - omgekeerd evenr.
pyramid;la pyramide;piramide
radical (nth root);le radical, le racine;machtswortel
radical - cube root;le radical - la racine cubique;machtswortel - derdemachtswortel
radical - square root;le radical - la racine carrée;machtswortel - vierkantswortel
rectangle;le rectangle;rechthoek
rhombus;le losange;ruit
set (collection);l'ensemble (m);verzameling
sphere;le sphère;bol
square;le carré;vierkant
subtract (v);soustraire (v);aftrekken
subtraction;la soustraction;aftrekking
subtraction - difference;la soustraction - la différence;aftrekking - verschil
subtraction - minuend;la soustraction - le diminué;aftrekking - aftrektal
subtraction - subtrahend;la soustraction - le manque;aftrekking - aftrekker
surface area;l'aire (f) ou la superficie;oppervlakte
theorem, proposition;le théorème, la proposition;stelling, theorema
trapezium, trapezoid;le trapèze;trapezium
trapezium - isosceles trap.;le trapèze - le trapèze isocèle;trapezium - gelijkbenig trap.
triangle;le triangle;driehoek
triangle - equilateral triangle;le triangle - le triangle équilatéral;driehoek - gelijkzijdige dh.
triangle - isosceles triangle;le triangle - le triangle isocèle;driehoek - gelijkbenige dh.
triangle - scalene triangle;le triangle - le triangle scalène;driehoek - ongelijkzijdige dh.
triangle - right(-angled) triangle;le triangle - le triangle rectangle;driehoek - rechthoekige dh.
trigonometric/circular functions;les fonctions trigonométriques (f);goniometrische functies
trigonometric functions - (co)sine;trig. - le (co)sinus;gon. - (co)sinus
trigonometric functions - tangent;trig. - la tangente;gon. - tangens
trigonometry;la trigonométrie;goniometrie, trigoniometrie
volume;le volume;volume, inhoud
